   0.00000000E+00,   0.50000000E+00,   0.10000000E+01
  -0.24638825E+00,  -0.24695935E+00,  -0.24709123E+00
  -0.11531569E+00,  -0.11492049E+00,  -0.11434294E+00
   0.75035608E-03,   0.17096790E-02,   0.29161127E-02
   0.94375485E-01,   0.96819638E-01,   0.99334324E-01
   0.20660411E+00,   0.20904370E+00,   0.21128461E+00
   0.29810282E+00,   0.30151910E+00,   0.30457946E+00
   0.34507639E+00,   0.34842984E+00,   0.35131270E+00
   0.38044435E+00,   0.38419474E+00,   0.38738933E+00
   0.39465759E+00,   0.39798274E+00,   0.40076138E+00
   0.36203844E+00,   0.36510026E+00,   0.36763166E+00
   0.30283973E+00,   0.30526910E+00,   0.30722644E+00
   0.23436339E+00,   0.23601814E+00,   0.23749290E+00
   0.13719039E+00,   0.13792623E+00,   0.13851701E+00
   0.15363357E-01,   0.15358072E-01,   0.15343730E-01
  -0.91312958E-01,  -0.91963358E-01,  -0.92493780E-01
  -0.19559725E+00,  -0.19761083E+00,  -0.19954154E+00
  -0.31246809E+00,  -0.31456732E+00,  -0.31643250E+00
  -0.39291455E+00,  -0.39576698E+00,  -0.39821198E+00
  -0.43829100E+00,  -0.44141177E+00,  -0.44441268E+00
  -0.48528299E+00,  -0.48873428E+00,  -0.49186629E+00
  -0.48801281E+00,  -0.49107802E+00,  -0.49369083E+00
  -0.43938873E+00,  -0.44293595E+00,  -0.44613205E+00
  -0.38981083E+00,  -0.39247092E+00,  -0.39454347E+00
  -0.30815990E+00,  -0.31050893E+00,  -0.31207932E+00
  -0.18203113E+00,  -0.18376286E+00,  -0.18480708E+00
  -0.62171094E-01,  -0.63060386E-01,  -0.63299127E-01
   0.61115495E-01,   0.61231236E-01,   0.61861611E-01
   0.20378309E+00,   0.20435707E+00,   0.20547364E+00
   0.32686522E+00,   0.32823670E+00,   0.32998834E+00
   0.42398319E+00,   0.42615462E+00,   0.42849647E+00
   0.51083537E+00,   0.51321886E+00,   0.51565648E+00
   0.56988021E+00,   0.57265733E+00,   0.57537967E+00
   0.58415734E+00,   0.58673530E+00,   0.58904800E+00
   0.57082169E+00,   0.57362398E+00,   0.57616695E+00
   0.53309185E+00,   0.53523288E+00,   0.53709684E+00
   0.45475032E+00,   0.45657028E+00,   0.45800509E+00
   0.34488198E+00,   0.34554238E+00,   0.34616668E+00
   0.23082049E+00,   0.23099484E+00,   0.23105669E+00
   0.99462893E-01,   0.98440767E-01,   0.97343741E-01
  -0.47749942E-01,  -0.49004638E-01,  -0.50264690E-01
  -0.17538039E+00,  -0.17750858E+00,  -0.17956593E+00
  -0.28968366E+00,  -0.29276577E+00,  -0.29553869E+00
  -0.40098209E+00,  -0.40388652E+00,  -0.40686338E+00
  -0.47140482E+00,  -0.47459887E+00,  -0.47773607E+00
  -0.50568763E+00,  -0.50911964E+00,  -0.51257250E+00
  -0.52660041E+00,  -0.52995713E+00,  -0.53294171E+00
  -0.50308618E+00,  -0.50584613E+00,  -0.50847393E+00
  -0.43999064E+00,  -0.44264302E+00,  -0.44512328E+00
  -0.36654571E+00,  -0.36824679E+00,  -0.36953196E+00
  -0.26675016E+00,  -0.26767128E+00,  -0.26821748E+00
  -0.14022664E+00,  -0.13998383E+00,  -0.13958785E+00
  -0.17868739E-01,  -0.17115453E-01,  -0.16081963E-01
   0.10038362E+00,   0.10226909E+00,   0.10418845E+00
   0.21909965E+00,   0.22154388E+00,   0.22384962E+00
   0.31816165E+00,   0.32130943E+00,   0.32410294E+00
   0.38462912E+00,   0.38809132E+00,   0.39115752E+00
   0.43014030E+00,   0.43386729E+00,   0.43709200E+00
